1,2,2,Press any button to begin
2,3,4,Do you want to support a good team?
3,30,4,Do you want people to hate you?
4,31,5,Do you just want to support the best player?
5,6,12,Do you want to support an underdog team?
6,8,7,Should the team have any hope in the future?
7,32,9,Would you be willing to support the Hawks?
8,36,35,Are you okay with people forgetting your team exists?
9,33,34,Dunks or three pointers?
10,38,37,hello
11,17,10,Can your team's name be wizardry-related?
12,23,13,Do you want your team to be above-average or below-average?
13,18,14,Does your team need to have won a championship in the last 40 years?
14,15,54,Do you mind your team only being 2nd-best in their respective city?
15,44,43,Los Angeles or New York?
16,42,41,Hornets or no hornets?
17,40,39,Visit the White House or Disney World?
18,45,19,Do you want a balanced attack or a one-man army?
19,46,47,Do your players have to be likeable?
20,51,50,What's your stance on diving?
21,20,28,Popular or unpopular team?
22,21,26,Guard or Forward?
23,25,22,Big man is the best position?
24,55,56,Athleticism or skills?
25,57,24,Good fundementals are crucial in basketball?
26,27,58,Do you want to watch basketball on Christmas?
27,53,59,Can you pronounce long and complicated names?
28,52,29,Do you enjoy jazz music?
29,49,48,Chris Brown or Kanye West?
30,1,1,YOUR TEAM IS GOLDEN STATE WARRIORS
31,1,1,YOUR TEAM IS LOS ANGELES LAKERS
32,1,1,YOUR TEAM IS ATLANTA HAWKS
33,1,1,YOUR TEAM IS CHICAGO BULLS
34,1,1,YOUR TEAM IS PHOENIX SUNS
35,1,1,YOUR TEAM IS MEMPHIS GRIZZLIES
36,1,1,YOUR TEAM IS SEATTLE SUPERSONICS
37,1,1,YOUR TEAM IS MINNESOTA TIMBERWOLVES
38,1,1,YOUR TEAM IS NEW ORLEAN PELICANS
39,1,1,YOUR TEAM IS ORLANDO MAGIC
40,1,1,YOUR TEAM IS WASHINGTON WIZARDS
41,1,1,YOUR TEAM IS SACRAMENTO KINGS
42,1,1,YOUR TEAM IS CHARLOTTE HORNETS
43,1,1,YOUR TEAM IS LOS ANGELES CLIPPERS
44,1,1,YOUR TEAM IS BROOKLYN NETS
45,1,1,YOUR TEAM IS MIAMI HEAT
46,1,1,YOUR TEAM IS DALLAS MAVERICKS
47,1,1,YOUR TEAM IS DETROIT PISTONS
48,1,1,YOUR TEAM IS INDIANA PACERS
49,1,1,YOUR TEAM IS PORTLAND TRAIL BLAZERS
50,1,1,YOUR TEAM IS BOSTON CELTICS
51,1,1,YOUR TEAM IS HOUSTON ROCKETS
52,1,1,YOUR TEAM IS UTAH JAZZ
53,1,1,YOUR TEAM IS MILWAUKEE BUCKS
54,11,16,Blue or purple?
55,1,1,YOUR TEAM IS PHILADELPHIA 76ERS
56,1,1,YOUR TEAM IS DENVER NUGGETS
57,1,1,YOUR TEAM IS SAN ANTONIO SPURS
58,1,1,YOUR TEAM IS TORONTO RAPTORS
59,1,1,YOUR TEAM IS OKLAHOMA THUNDER
